trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
209,False,"{'a': 0.5, 'e': 0.12116881635704835}",25,11,13.859899308352539,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.11995712819347787}",30,16,18.119296717910004,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.11875755691154309}",25,15,20.6478476775996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11756998134242766}",25,18,7.448167798160341,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11639428152900338}",20,13,-9.50558963105895,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11523033871371334}",30,18,12.660335933182296,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11407803532657622}",25,16,17.17576292810161,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11293725497331045}",20,10,-4.669220813201095,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11180788242357734}",20,15,7.229109423702921,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11068980359934157}",25,15,17.045384188138296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.10958290556334815}",30,20,19.699795375642445,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.10848707650771466}",20,2,28.37106653623167,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10740220574263752}",20,9,17.519516427913395,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10632818368521114}",20,0,21.561637473395475,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10526490184835903}",30,18,24.679210282905984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10421225282987544}",30,18,-22.373677195680024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
225,False,"{'a': 0.5, 'e': 0.10317013030157668}",20,11,16.478810341914485,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10213842899856092}",20,9,17.786422832598145,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10111704470857531}",20,10,10.644137497053734,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10010587426148955}",20,8,-21.041587064076523,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.5, 'e': 0.09910481551887466}",20,3,27.438198447947194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.0981137673636859}",35,23,24.960589834712923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09713262969004906}",30,17,27.723972251173304,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09616130339314856}",30,10,37.33991536814954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09519969035921708}",25,11,18.27500243708842,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.0942476934556249}",25,17,13.589398242051015,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09330521652106866}",25,17,1.2063942572438362,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09237216435585796}",20,9,8.368968068316493,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09144844271229938}",25,20,8.081062906265771,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.0905339582851764}",20,12,-3.6717220378449253,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.08962861870232462}",30,15,3.742908691193972,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08873233251530138}",25,8,29.80366887130941,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08784500919014836}",30,17,23.314725415939186,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08696655909824688}",25,6,25.761693950556094,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.0860968935072644}",20,11,-25.36602081967709,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.08523592457219176}",25,8,11.503211140330434,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08438356532646984}",25,8,25.151131295482067,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08353972967320515}",30,19,16.523672591716252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.0827043323764731}",30,12,33.02129529961696,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.08187728905270836}",25,12,10.553102215088629,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08105851616218128}",20,7,11.83377437308005,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08024793100055946}",35,18,31.259068786811422,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.07944545169055386}",20,2,30.095567042248067,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.07865099717364833}",20,12,15.077728554711147,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07786448720191184}",25,11,26.579763375709888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07708584232989273}",20,11,5.314331729328891,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.0763149839065938}",20,6,26.200394794846368,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07555183406752786}",25,11,26.27182652096228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07479631572685258}",20,12,15.793515388703554,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07404835256958406}",20,0,19.341236536578066,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
259,False,"{'a': 0.5, 'e': 0.07330786904388821}",20,12,9.395565541226198,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07257479035344933}",35,17,30.329733753432045,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07184904244991484}",30,13,29.62152657244896,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07113055202541568}",20,8,25.30574144332306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.07041924650516153}",25,20,8.64720974581662,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.06971505404010991}",25,15,19.12435446731145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.06901790349970881}",20,13,11.94584300637569,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.06832772446471172}",20,14,10.381525055452336,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.0676444472200646}",30,14,27.618663486502307,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.06696800274786396}",25,12,21.867654448808963,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.06629832272038531}",25,18,12.129584070118204,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06563533949318147}",25,13,10.229198605468007,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.06497898609824965}",20,16,8.575203181199493,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06432919623726716}",20,10,16.836187439361385,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.06368590427489448}",20,13,13.402862982978984,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06304904523214554}",25,20,12.802457164038252,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.06241855477982408}",25,19,10.437840275824797,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.06179436923202584}",30,15,28.762398227949824,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.06117642553970558}",30,14,29.8826218376757,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.06056466128430853}",20,12,17.339900044462027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.05995901467146544}",20,6,12.803748306670501,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.059359424524750785}",20,14,-1.082182497372267,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.05876583027950327}",25,17,14.008061525248914,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.05817817197670824}",20,6,23.892777315423526,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.05759639025694116}",25,16,18.93955719798446,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.057020426354371746}",30,20,5.954947147194092,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.05645022209082803}",25,15,18.468700817778732,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
